x,y,z
9.540323257446289062e+00,6.662623882293701172e-01,1.370338439941406250e+00
9.688777923583984375e+00,6.756463646888732910e-01,1.370338439941406250e+00
9.837233543395996094e+00,6.850303411483764648e-01,1.370338439941406250e+00
9.985688209533691406e+00,6.944143176078796387e-01,1.370338439941406250e+00
1.013414382934570312e+01,7.037982940673828125e-01,1.370338439941406250e+00
1.028259849548339844e+01,7.131822705268859863e-01,1.370338439941406250e+00
1.043105506896972656e+01,7.225662469863891602e-01,1.370338439941406250e+00
1.057950973510742188e+01,7.319502234458923340e-01,1.370338439941406250e+00
1.072796535491943359e+01,7.413341999053955078e-01,1.370338439941406250e+00
1.087642002105712891e+01,7.507181763648986816e-01,1.370338439941406250e+00
1.102487754821777344e+01,7.601022720336914062e-01,1.370338439941406250e+00
1.117333221435546875e+01,7.694862484931945801e-01,1.370338439941406250e+00
1.132178783416748047e+01,7.788702249526977539e-01,1.370338439941406250e+00
1.147024345397949219e+01,7.882542014122009277e-01,1.370338439941406250e+00
1.161869907379150391e+01,7.976381778717041016e-01,1.370338439941406250e+00
1.176715373992919922e+01,8.070221543312072754e-01,1.370338439941406250e+00
1.191560935974121094e+01,8.164061307907104492e-01,1.370338439941406250e+00
1.206406402587890625e+01,8.257901072502136230e-01,1.370338439941406250e+00
1.221251964569091797e+01,8.351741433143615723e-01,1.370338439941406250e+00
1.236097431182861328e+01,8.445581197738647461e-01,1.370338439941406250e+00
1.250942993164062500e+01,8.539420962333679199e-01,1.370338439941406250e+00
1.265788555145263672e+01,8.633260726928710938e-01,1.370338439941406250e+00
1.280634117126464844e+01,8.727100491523742676e-01,1.370338439941406250e+00
1.295479583740234375e+01,8.820940256118774414e-01,1.370338439941406250e+00
1.310325145721435547e+01,8.914780020713806152e-01,1.370338439941406250e+00
1.325170612335205078e+01,9.008619785308837891e-01,1.370338439941406250e+00
1.340016174316406250e+01,9.102459549903869629e-01,1.370338439941406250e+00
1.354861640930175781e+01,9.196299314498901367e-01,1.370338439941406250e+00
1.369707202911376953e+01,9.290139079093933105e-01,1.370338439941406250e+00
1.384552764892578125e+01,9.383978843688964844e-01,1.370338439941406250e+00
1.399398326873779297e+01,9.477818608283996582e-01,1.370338439941406250e+00
1.414243793487548828e+01,9.571658372879028320e-01,1.370338439941406250e+00
1.429089355468750000e+01,9.665498137474060059e-01,1.370338439941406250e+00
1.443934822082519531e+01,9.759337902069091797e-01,1.370338439941406250e+00
1.458780384063720703e+01,9.853177666664123535e-01,1.370338439941406250e+00
1.473625850677490234e+01,9.947017431259155273e-01,1.370338439941406250e+00
1.488471412658691406e+01,1.004085659980773926e+00,1.370338439941406250e+00
1.503316974639892578e+01,1.013469696044921875e+00,1.370338439941406250e+00
1.518162536621093750e+01,1.022853612899780273e+00,1.370338439941406250e+00
1.533008003234863281e+01,1.032237648963928223e+00,1.370338439941406250e+00
1.547853565216064453e+01,1.041621565818786621e+00,1.370338439941406250e+00
1.562699127197265625e+01,1.051005601882934570e+00,1.370338439941406250e+00
1.577544498443603516e+01,1.060389518737792969e+00,1.370338439941406250e+00
1.592390060424804688e+01,1.069773554801940918e+00,1.370338439941406250e+00
1.607235717773437500e+01,1.079157471656799316e+00,1.370338439941406250e+00
1.622081184387207031e+01,1.088541507720947266e+00,1.370338439941406250e+00
1.636926651000976562e+01,1.097925424575805664e+00,1.370338439941406250e+00
1.651772117614746094e+01,1.107309460639953613e+00,1.370338439941406250e+00
1.666617774963378906e+01,1.116693377494812012e+00,1.370338439941406250e+00
1.681463241577148438e+01,1.126077413558959961e+00,1.370338439941406250e+00
1.696308708190917969e+01,1.135461449623107910e+00,1.370338439941406250e+00
1.711154365539550781e+01,1.144845366477966309e+00,1.370338439941406250e+00
1.725999832153320312e+01,1.154229402542114258e+00,1.370338439941406250e+00
1.740845298767089844e+01,1.163613319396972656e+00,1.370338439941406250e+00
1.755690765380859375e+01,1.172997355461120605e+00,1.370338439941406250e+00
1.770536422729492188e+01,1.182381272315979004e+00,1.370338439941406250e+00
